FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
07/05/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
07/05/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
14/09/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
14/09/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
13/05/2021;CENTRO;CL MESONERO ROMANOS 4;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
01/07/2021;CENTRO;CL MESONERO ROMANOS 4;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
03/08/2021;CENTRO;CL MESONERO ROMANOS 4;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
17/05/2021;CENTRO;PO PRADO 38;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
11/06/2021;CENTRO;CL HUMILLADERO 5;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
27/05/2021;CENTRO;PZ PUERTA DEL SOL 11;NO PROGRAMADA;472904 - COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
16/04/2021;CENTRO;CL CARMEN 27;PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
15/07/2021;CENTRO;CL CARMEN 27;PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
09/04/2021;CENTRO;CL BAILEN 15;NO PROGRAMADA;472904 - COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
25/06/2021;CENTRO;CL HORTALEZA 23;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
08/04/2021;CENTRO;CL ESPIRITU SANTO 6;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
08/04/2021;CENTRO;CL ESPIRITU SANTO 6;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
10/09/2021;CENTRO;CL BOTONERAS 6;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/09/2021;CENTRO;CL BOTONERAS 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/05/2021;CENTRO;CL ATOCHA 82;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
05/07/2021;CENTRO;CL ATOCHA 82;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;CENTRO;CL FUENCARRAL 95;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
15/04/2021;CENTRO;CL FUENCARRAL 95;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
16/02/2021;CENTRO;CL HUMILLADERO 30;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
08/09/2021;CENTRO;CL ROSARIO 21;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
18/01/2021;CENTRO;CL SAN MARCOS 37;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
04/08/2021;CENTRO;PZ PEDRO ZEROLO 8;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
24/08/2021;CENTRO;PZ PEDRO ZEROLO 8;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
03/02/2021;CENTRO;CL TOLEDO 57;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
09/07/2021;CENTRO;CL TOLEDO 57;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
09/02/2021;CENTRO;CL VALENCIA 14;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
09/02/2021;CENTRO;CL VALENCIA 14;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
03/03/2021;CENTRO;CU SANTO DOMINGO 12;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
26/05/2021;CENTRO;CU SANTO DOMINGO 12;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
24/05/2021;CENTRO;CL SANTA ISABEL 17;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
30/06/2021;CENTRO;CL ALMENDRO 21;PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
